#,建築物名稱,建築物概要,認可版本,認可等級,rank,有效期間,valid,認可類別,設計人,行政區,ditrict,地號,建築物使用類別,longtitude,latitude
1,華彥新北市五股成功段新建工程,地下3層，地上14層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,銀級,3,2031年3月16日,1,標示,謝佑祥建築師事務所,新北市,五股區,新北市五股區成功段764地號辦公廳及住宿類建築,住宿類建築,121.444407,25.092867
2,淡水區崁頂市民活動中心暨公共化幼兒園新建工程,地上3層鋼筋混凝土構造空調型(文教及照護分區)建築,2019年版EEWH-BC(M),合格級,1,2031年2月25日,1,標示,吳坤霖建築師事務所,新北市,淡水區,新北市淡水區淡海段47地號空調型(文教及照護分區)建築,辦公廳類建築,121.428881,25.198783
3,聿瑞林口麗林547集合住宅新建工程,地下2層，地上12層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2031年2月11日,1,標示,廖錦盈建築師事務所,新北市,林口區,新北市林口區麗林段547地號等5筆住宿類建築,住宿類建築,121.378817,25.091171
4,新北市新店區中央段781、796-2地號新建工程,地下1層，地上7層鋼筋混凝土構造住宿類建築,2019年版EEWH-RS,銀級,3,2031年2月11日,1,標示,周英哲建築師事務所,新北市,新店區,新北市新店區中央段781地號等2筆住宿類建築,住宿類建築,121.525116,24.977146
5,江陵建設股份有限公司新店區斯馨段(二期)住宅新建工程,地下5層，地上24層鋼骨構造辦公廳及住宿類建築,2015年版EEWH-RS,黃金級,4,2031年2月8日,1,標示,大哲聯合建築師事務所,新北市,新店區,新北市新店區斯馨段25地號辦公廳及住宿類建築,住宿類建築,121.529051,24.980228
6,國泰人壽中和大樓,地下1層，地上6層鋼筋混凝土造空調型(辦公分區)建築,2022年版EEWH-EB,鑽石級,5,2031年2月4日,1,標示,林序予建築師事務所,新北市,中和區,新北市中和區錦和段0101地號空調型(辦公分區)建築,辦公廳類建築,121.494951,24.99355
7,忠莊營區射擊訓練靶場興建統包工程,地下1層，地上1層鋼筋混凝土、鋼骨鋼筋混凝土及鋼骨造大型空間類建築,2023年版EEWH-BC,合格級,1,2031年2月3日,1,標示,張文滋建築師事務所,新北市,淡水區,淡水區望高樓段785、785-1、786、787、788、789、790及791地號等8筆土地大型空間類建築,大型空間類建築,121.412936,25.185838
8,國家檔案館新建工程,地下2層，地上10層鋼筋混凝土構造辦公廳及大型空間類建築,2015年版EEWH-BC,鑽石級,5,2031年2月2日,1,標示,九典聯合建築師事務所,新北市,林口區,新北市林口區國宅段0020-0000地號辦公廳及大型空間類建築,辦公廳類建築,121.374376,25.07302
9,林口區行政段228地號等1筆土地中正路郵局新建工程,地下1層，地上5層鋼筋混凝土構造辦公廳類建築,2015年版EEWH-BC,合格級,1,2031年1月29日,1,標示,周弘誠建築師事務所,新北市,林口區,新北市林口區行政段228地號辦公廳類建築,辦公廳類建築,121.393718,25.077079
10,新北市新莊區副都心段一小段21地號綜合大樓新建工程,地下5層，地上23層鋼筋混凝土構造辦公廳、旅館餐飲及住宿類建築,2015年版EEWH-RS,黃金級,4,2031年1月29日,1,標示,陳廷杰建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段21地號辦公廳、旅館餐飲及住宿類建築,住宿類建築,121.452871,25.059322
11,馥御建設股份有限公司板橋區中山段247地號等4筆住商大樓新建工程,地下5層，地上46層鋼骨構造辦公廳、百貨商場、旅館餐飲及住宿類建築,2009年版,黃金級,4,2031年1月28日,1,標示,三門聯合建築師事務所,新北市,板橋區,新北市板橋區中山段247地號等4筆辦公廳、百貨商場、旅館餐飲及住宿類建築,住宿類建築,121.471174,25.013784
12,永雄建設新北市八里區中山段集合住宅新建工程,地下3層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,黃金級,4,2031年1月26日,1,標示,台北國際聯合建築師事務所,新北市,八里區,新北市八里區中山段549地號等2筆住宿類建築,住宿類建築,121.410387,25.158323
13,遇見,地下4層，地上15層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2031年1月21日,1,標示,廖錦盈建築師事務所,新北市,林口區,新北市林口區力行段598地號住宿類建築,住宿類建築,121.372228,25.079816
14,南亞科技5A廠研發大樓新建專案,地下1層，地上6層鋼筋混凝土構造空調型(辦公分區)及其他類建築,2019年版EEWH-BC(M),銀級,3,2031年1月21日,1,標示,宗邁建築師事務所,新北市,泰山區,新北市泰山區南林段0208地號空調型(辦公分區)及其他類建築,辦公廳類建築,121.415557,25.047947
15,新北市三重區興穀國民小學操場興建地下停車場統包工程,地下2層，地上4層鋼筋混凝土構造學校及其他類建築,2015年版EEWH-BC,合格級,1,2031年1月21日,1,標示,李宜忠建築師事務所 郭恆成建築師事務所,新北市,三重區,新北市三重區五谷王段305地號等3筆學校及其他類建築,學校類建築,121.475347,25.049818
17,方圓開發建設新莊區雙鳳段店鋪集合住宅新建工程,地下4層，地上14層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,銀級,3,2031年1月6日,1,標示,蔡仁捷建築師事務所,新北市,新莊區,新北市新莊區雙鳳段194地號等8筆辦公廳及住宿類建築,住宿類建築,121.414197,25.023731
18,新北市土城區明德段65地號集合住宅新建工程,地下4層，地上15層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,鑽石級,5,2031年1月6日,1,標示,彭繼賢建築師事務所,新北市,土城區,新北市土城區明德段65地號辦公廳及住宿類建築,住宿類建築,121.44974,24.978821
19,勝旺建設新北市三重區五谷王段357地號等1筆土地集合住宅新建工程,地下4層，地上15層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2031年1月6日,1,標示,蔡智勸建築師事務所,新北市,三重區,新北市三重區五谷王段357地號住宿類建築,住宿類建築,121.477359,25.048704
20,國家中山科學研究院新北P040新建工程,地上3層鋼筋混凝土造空調型(辦公、餐飲分區)、住宿及其他類建築,2023年版EEWH-BC,合格級,1,2031年1月5日,1,標示,王騰建築師事務所,新北市,三芝區,新北市三芝區芝蘭段1441~1444、1446~1449、1451、1455、1456、1459~1464、1467~1469、1471、1472、1475~1484、1488、1489、1491~1,辦公廳類建築,121.454108,25.249014
21,新莊合鳳129住宅大樓新建工程,地下6層，地上24層鋼筋混凝土構造，鋼骨鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2030年12月29日,1,標示,台北國際聯合建築師事務所,新北市,新莊區,新北市新莊區合鳳段0129-0000地號等3筆住宿類建築,住宿類建築,121.417513,25.028835
22,新莊區中原段65等1筆地號集合住宅新建工程,地下4層，地上14層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2030年12月15日,1,標示,蔡智勸建築師事務所,新北市,新莊區,新北市新莊區中原段65地號住宿類建築,住宿類建築,121.461726,25.058285
23,光世代建設開發股份有限公司新北樹林北大特區商業建築新建工程,地下1層，地上2層鋼筋混凝土構造空調型(商場分區)建築,2023年版EEWH-BC,銀級,3,2030年12月11日,1,標示,王德生建築師事務所,新北市,樹林區,新北市樹林區大學段二小段3地號空調型(商場分區)建築,百貨商場類建築,121.377295,24.94804
24,春源鋼鐵三重廠房新建工程,地下3層，地上15層鋼骨鋼筋混凝土構造大型空間類建築,2012年版EEWH-GF,黃金級,4,2030年12月4日,1,標示,侯秋雄建築師事務所,新北市,三重區,新北市三重區興德段724地號等4筆大型空間類建築,大型空間類建築,121.473264,25.04981
25,新北市三重區三重段406、407地號等2筆集合住宅新建工程,地下3層，地上15層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2030年12月3日,1,標示,向登群建築師事務所,新北市,三重區,新北市三重區三重段406地號等2筆住宿類建築,住宿類建築,121.486926,25.049481
26,新北市瑞芳動物之家建築物新建暨景觀改善工程,地上2層鋼筋混凝土構造空調型(照護分區)建築,2019年版EEWH-BC(M),合格級,1,2030年12月3日,1,標示,陳威翰建築師事務所,新北市,瑞芳區,新北市瑞芳區三爪子段中坑小段81-1地號空調型(照護分區)建築,辦公廳類建築,121.799533,25.076135
27,中悅建設股份有限公司新北市新莊區新莊副都心段一小段421等4筆地號大樓新建工程,地下5層，地上29層鋼骨鋼筋混凝土構造，鋼骨構造辦公廳及旅館餐飲類建築,2015年版EEWH-BC,銀級,3,2030年11月19日,1,標示,蕭家福聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段421地號辦公廳及旅館餐飲類建築,辦公廳類建築,121.444024,25.055251
28,土城明德段109地號集合住宅新建工程(皇翔芊樾),地下4層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,鑽石級,5,2030年11月12日,1,標示,呂建勳建築師事務所,新北市,土城區,新北市土城區明德段109地號住宿類建築,住宿類建築,121.447411,24.97895
29,新北市三重區三重段90地號共一筆土地集合住宅新建工程,地下4層，地上24層鋼筋混凝土構造住宿類建築,2023年版EEWH-RS,合格級,1,2030年11月12日,1,標示,蕭家福聯合建築師事務所,新北市,三重區,新北市三重區三重段90地號住宿類建築,住宿類建築,121.476138,25.066069
30,潤泰左岸生活,地下3層，地上18層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,黃金級,4,2030年11月12日,1,標示,鑄力聯合建築師事務所,新北市,三重區,新北市三重區五谷王段200地號住宿類建築,住宿類建築,121.477322,25.052467
31,久年置地新北市三重區三重段集合住宅新建工程,地下3層，地上14層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2030年11月12日,1,標示,蕭力仁建築師事務所 呂信義建築師事務所,新北市,三重區,新北市三重區三重段168地號住宿類建築,住宿類建築,121.48017,25.062941
32,名毅建設新店安德段集合住宅新建工程(小基地),地下4層，地上12層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2030年11月9日,1,標示,黃宏輝建築師事務所,新北市,新店區,新北市新店區安德段844地號等2筆住宿類建築,住宿類建築,121.512649,24.960955
33,新北市汐止區厚德段85地號等1筆土地店舖集合住宅新建工程,地下4層，地上15層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年11月9日,1,標示,賴良政建築師事務所,新北市,汐止區,新北市汐止區厚德段85地號住宿類建築,住宿類建築,121.641774,25.069959
34,崇利建設蘆洲區樹德段503等地號集合住宅新建工程,地下3層，地上12層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年11月9日,1,標示,李浩原建築師事務所,新北市,蘆洲區,新北市蘆洲區樹德段503地號住宿類建築,住宿類建築,121.477706,25.081035
35,新北市新店區斯馨段文心念念新建工程,地下3層，地上14層鋼筋混凝土構造辦公廳、住宿及其他類建築,2015年版EEWH-RS,黃金級,4,2030年10月29日,1,標示,郭旭原聯合建築師事務所,新北市,新店區,新北市新店區斯馨段85地號辦公廳、住宿及其他類建築,住宿類建築,121.529804,24.978459
36,新北市三重五谷王段社會住宅新建統包工程,地下3層，地上11層鋼筋混凝土構造空調型(照護、商場分區)及住宿類建築,2019年版EEWH-RS,銀級,3,2030年10月16日,1,標示,奚茂恩建築師事務所,新北市,三重區,新北市三重區五谷王段297地號空調型(照護、商場分區)及住宿類建築,住宿類建築,121.476794,25.049757
37,璞永建設林口國宅段住宅大樓新建工程,地下2層，地上11層鋼筋混凝土構造住宿及學校類建築,2015年版EEWH-RS,銀級,3,2030年10月16日,1,標示,吳明杰建築師事務所,新北市,林口區,新北市林口區國宅段31-1地號住宿及學校類建築,住宿類建築,121.369426,25.069001
38,富元生活科技蘆洲區正義段集合住宅新建工程,地下2層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2030年10月16日,1,標示,李文勝聯合建築師事務所,新北市,蘆洲區,新北市蘆洲區正義段148地號住宿類建築,住宿類建築,121.464322,25.088769
39,新北市三峽區清潔隊既設資源回收貯存場新建工程,地上3層鋼骨構造空調型(辦公分區)建築,2019年版EEWH-BC(M),合格級,1,2030年10月13日,1,標示,張榮麟建築師事務所,新北市,三峽區,新北市三峽區龍福段0625-0000地號等17筆空調型(辦公分區)建築,辦公廳類建築,121.357991,24.940892
40,淡水海鷗段1008、1009地號新建工程,地下2層，地上8層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年10月8日,1,標示,長弘建築師事務所,新北市,淡水區,新北市淡水區海鷗段1008地號等2筆住宿類建築,住宿類建築,121.455513,25.161038
41,新北市汐止區工建段348地號工廠新建工程,地下4層，地上17層鋼筋混凝土構造辦公廳及大型空間類建築,2015年版EEWH-GF,黃金級,4,2030年10月2日,1,標示,三門聯合建築師事務所 千豐建築師事務所,新北市,汐止區,新北市汐止區工建段348地號辦公廳及大型空間類建築,大型空間類建築,121.633945,25.05856
42,新北市泰山中山段國軍職務宿舍新建統包工程,地下1層，地上8層鋼筋混凝土構造住宿類建築,2019年版EEWH-RS(M),銀級,3,2030年9月21日,1,標示,宋哲賓建築師事務所,新北市,泰山區,新北市泰山區中山段578-10地號等10筆住宿類建築,住宿類建築,121.422154,25.036471
43,新北市板橋區中山段二十四層店鋪.集合住宅新建工程,地下5層，地上24層鋼骨鋼筋混凝土構造辦公廳及住宿類建築,2009年版,銀級,3,2030年9月18日,1,標示,吳孟音建築師事務所,新北市,板橋區,新北市板橋區中山段1779地號辦公廳及住宿類建築,住宿類建築,121.465565,25.010601
44,唯謙建設新北市新莊區興化段廠房新建工程,地下3層，地上9層鋼筋混凝土構造，鋼骨構造大型空間類建築,2015年版EEWH-GF,銀級,3,2030年9月15日,1,標示,陳章安聯合建築師事務所,新北市,新莊區,新北市新莊區興化段538地號等3筆大型空間類建築,大型空間類建築,121.463886,25.059177
45,富民運輸台北港北碼頭區廠辦新建工程,地上3層鋼骨構造，鋼筋混凝土構造空調型(辦公分區)及其他類建築,2019年版EEWH-BC(M),合格級,1,2030年9月8日,1,標示,蔡宜勳建築師事務所,新北市,八里區,新北市八里區小八里坌段中小段352地號空調型(辦公分區)及其他類建築,其他類建築,121.385185,25.168431
46,遠東資源開發五股物流中心新建工程,地上 5 層鋼骨構造空調型(辦公分區)、住宿及其他類建築,2019年版EEWH-BC,銀級,3,2030年9月2日,1,標示,張哲夫建築師事務所,新北市,五股區,新北市五股區登林段232-1地號等16筆空調型(辦公分區)、住宿及其他類建築,其他類建築,121.433201,25.070121
47,中和灰磘段集合住宅新建工程,地下2層，地上7層鋼筋混凝土構造住宿類建築,2009年版,銀級,3,2030年8月27日,1,標示,郭秋利建築師事務所,新北市,中和區,新北市中和區灰磘段179-00地號住宿類建築,住宿類建築,121.485489,24.984975
48,錸德建設有限公司三重區成功段398地號等1筆案新建工程,地下4層，地上14層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年8月21日,1,標示,杜金木建築師事務所,新北市,三重區,新北市三重區成功段398地號住宿類建築,住宿類建築,121.483708,25.057232
49,冠德建設股份有限公司新北市中和區國道段集合住宅新建工程,地下5層，地上24層鋼筋混凝土構造住宿類建築,2019年版EEWH-RS,銀級,3,2030年8月18日,1,標示,周夢龍建築師事務所、簡志聰建築師事務所、柯智明建築師事務所,新北市,中和區,新北市中和區國道段50地號住宿類建築,住宿類建築,121.480002,24.994412
50,興翔開發永豐景住宅大樓,地下2層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年8月18日,1,標示,吳伯昌建築師事務所,新北市,板橋區,新北市板橋區光仁段2196地號住宿類建築,住宿類建築,121.474452,25.01711
51,冠德建設股份有限公司新北市中和區大智段749地號土地開發辦公大樓,地下5層，地上20層鋼筋混凝土構造辦公廳類建築,2009年版,銀級,3,2030年8月12日,1,標示,李祖原聯合建築師事務所,新北市,中和區,新北市中和區大智段749地號辦公廳類建築,辦公廳類建築,121.524942,24.990661
52,家泰開發、家悅建設、大業開發新北市林口區建林段152地號等1筆一般零售業及集合住宅新建工程,地下2層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2030年8月3日,1,標示,曾聰憲建築師事務所,新北市,林口區,新北市林口區建林段152地號住宿類建築,住宿類建築,121.363452,25.073621
53,景程建設新莊區中原段106地號店鋪及集合住宅新建工程,地下4層，地上15層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2030年8月3日,1,標示,黃永興建築師事務所,新北市,新莊區,新北市新莊區中原段106地號住宿類建築,住宿類建築,121.460396,25.056879
54,三重區大智段328等45筆地號 店鋪、集合住宅新建工程,地下5層，地上20層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,銀級,3,2030年7月21日,1,標示,王國輝建築師事務所,新北市,三重區,新北市三重區大智段328地號等45筆辦公廳及住宿類建築,住宿類建築,121.491935,25.069326
55,新北市中和區錦和運動公園停車場新建統包工程,地下2層，地上2層鋼筋混凝土構造，鋼構造大型空間及其他類建築,2019年版EEWH-BC(M),銀級,3,2030年7月20日,1,標示,戴嘉惠建築師事務所,新北市,中和區,新北市中和區錦和段535地號等8筆大型空間及其他類建築,其他類建築,121.490579,24.992845
56,鶯歌區域性資源循環中心新建工程(第二期),地上2層鋼筋混凝土構造空調型(辦公分區)及其他類建築,2019年版EEWH-BC(M),合格級,1,2030年7月20日,1,標示,吳坤霖建築師事務所,新北市,鶯歌區,新北市鶯歌區南靖段1102-0000地號等10筆空調型(辦公分區)及其他類建築,辦公廳類建築,121.348319,24.942431
57,鼎極國際開發 三重區五谷王一段21地號等1筆土地,地下4層，地上18層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2030年7月16日,1,標示,三門聯合建築師事務所,新北市,三重區,新北市三重區五谷王一段21地號住宿類建築,住宿類建築,121.474881,25.057912
58,新北市林口區東湖國民小學校舍暨市民多元服務設施統包工程,地下1層，地上7層鋼筋混凝土構造住宿、學校、大型空間及其他類建築,2015年版EEWH-BC,黃金級,4,2030年7月16日,1,標示,石昭永建築師事務所,新北市,林口區,新北市林口區新林段1104地號住宿、學校、大型空間及其他類建築,學校類建築,121.381702,25.076352
59,泰管園區第五辦公室新建工程,地上3層鋼筋混凝土構造辦公廳類建築,2015年版EEWH-BC,合格級,1,2030年7月10日,1,標示,大築建築師事務所,新北市,泰山區,泰山區橫窠段1162地號等34筆辦公廳類建築,辦公廳類建築,121.430117,25.068762
60,三井林口國際媒體園區(A基地)新建工程,地下1層，地上4層鋼筋混凝土構造空調型(商場、餐飲、娛樂分區)及其他類建築,2019年版EEWH-BC(M),銀級,3,2030年7月10日,1,標示,三大聯合建築師事務所,新北市,林口區,新北市林口區建林段0386地號等3筆空調型(商場、餐飲、娛樂分區)及其他類建築,百貨商場類建築,121.364482,25.068361
61,聯上開發新北市新店區寶強段1171地號等1筆土地集合住宅新建工程案,地下4層，地上15層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年7月10日,1,標示,李文勝聯合建築師事務所,新北市,新店區,新北市新店區寶強段1171地號住宿類建築,住宿類建築,121.544346,24.974883
62,安信建經板橋區光仁段店舖集合住宅新建工程,地下4層，地上15層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年7月6日,1,標示,蔡仁捷建築師事務所,新北市,板橋區,新北市板橋區光仁段840地號住宿類建築,住宿類建築,121.476425,25.019956
63,元泰鼎開發股份有限公司新北市三重區三重段251等四筆地號醫院新建工程,地下4層，地上10層鋼筋混凝土構造醫院類建築,2015年版EEWH-BC,銀級,3,2030年7月6日,1,標示,三門聯合建築師事務所,新北市,三重區,新北市三重區三重段251地號等4筆醫院類建築,醫院類建築,121.483699,25.054068
64,新北市淡水區水仙段192地號等2筆集合住宅新建工程,地下3層，地上12層鋼筋混凝土構造住宿類建築,2019年版EEWH-RS,黃金級,4,2030年7月1日,1,標示,周劍平建築師事務所,新北市,淡水區,新北市淡水區水仙段192地號等2筆住宿類建築,住宿類建築,121.462427,25.151799
65,新北市板橋區忠孝國民中學老舊校舍整建統包工程,地下2層，地上4層鋼筋混凝土構造學校及其他類建築,2015年版EEWH-BC,銅級,2,2030年6月26日,1,標示,恩典聯合建築師事務所,新北市,板橋區,新北市板橋區忠孝段302地號等13筆學校及其他類建築,學校類建築,121.461684,25.004306
66,雙溪分隊新建工程,地上4層鋼筋混凝土構造空調型(辦公分區)建築,2019年版EEWH-BC(M),合格級,1,2030年6月17日,1,標示,鄒永亷建築師事務所,新北市,雙溪區,新北市雙溪區雙平段489地號等3筆空調型(辦公分區)建築,辦公廳類建築,121.860988,25.038641
67,新莊區副都心段一小段380地號辦公大樓新建工程,地下5層，地上20層鋼筋混凝土構造，鋼骨構造辦公廳類建築,2015年版EEWH-BC,黃金級,4,2030年6月15日,1,標示,李文勝建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段380地號辦公廳類建築,辦公廳類建築,121.447002,25.055289
68,新北市政府警察局土城分局廣福派出所及交通分隊暨體育處健身中心共構工程,地下1層，地上5層鋼筋混凝土構造辦公廳類建築,2015年版EEWH-BC,合格級,1,2030年6月12日,1,標示,劉錦鐘建築師事務所,新北市,土城區,新北市土城區員和段265-2地號等2筆辦公廳類建築,辦公廳類建築,121.443934,24.982379
69,輔仁大學理工實驗大樓新建工程,地下1層，地上7層鋼筋混凝土構造學校類建築,2015年版EEWH-BC,銀級,3,2030年6月8日,1,標示,徐維志建築師事務所,新北市,新莊區,新北市新莊區安泰段851地號等10筆學校類建築,學校類建築,121.431825,25.036335
70,國防部軍備局工程營產中心堅實營區新建工程統包工程,地上5層鋼骨鋼筋混凝土構造、鋼筋混凝土構造、鋼骨構造空調型(辦公、餐飲分區)、住宿、大型空間及其他類建築,2019年版EEWH-RS,銅級,2,2030年6月3日,1,標示,黃孟偉建築師事務所,新北市,泰山區,新北市泰山區橫窠段1463、1464、1465、1466地號空調型(辦公、餐飲分區)、住宿、大型空間及其他類建築,住宿類建築,121.429422,25.066366
71,黃石開發黃石市場新建工程案,地下3層，地上9層鋼筋混凝土構造空調型(文教、商場、餐飲、旅館分區)及大型空間類建築,2019年版EEWH-BC,合格級,1,2030年6月3日,1,標示,張維哲建築師事務所,新北市,板橋區,新北市板橋區府中段1017地號等3筆空調型(文教、商場、餐飲、旅館分區)及大型空間類建築,大型空間類建築,121.457106,25.010688
72,德昇建設新莊區新知段55地號廠辦新建工程,地下3層，地上17層鋼筋混凝土構造辦公廳及大型空間類建築,2015年版EEWH-BC,銀級,3,2030年6月3日,1,標示,大矩聯合建築師事務所,新北市,新莊區,新北市新莊區新知段55地號辦公廳及大型空間類建築,大型空間類建築,121.456311,25.06272
73,新北市立桃子腳國民中小學新建第三期校舍暨共構幼兒園工程,地下1層，地上6層鋼筋混凝土構造空調型(文教分區)及學校類建築,2019年版EEWH-BC,銀級,3,2030年6月3日,1,標示,邱永章建築師事務所,新北市,樹林區,新北市樹林區大學段二小段16地號等2筆空調型(文教分區)及學校類建築,學校類建築,121.382421,24.95046
74,宏匯凱悅嘉軒酒店,地下4層，地上21層鋼骨構造空調型(旅館分區)建築,2022年版EEWH-EB,鑽石級,5,2030年5月27日,1,標示,三門聯合建築師事務所,新北市,新莊區,新北市新莊區副都心段一小段15地號空調型(旅館分區)建築,旅館餐飲類建築,121.454115,25.059984
75,台信建設新莊區新樹段306地號等1筆土地集合住宅新建工程,地下4層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年5月27日,1,標示,陳朝雄建築師事務所,新北市,新莊區,新北市新莊區新樹段0306-0000地號住宿類建築,住宿類建築,121.432718,25.001915
76,法務部調查局中和調查園區新建辦公大樓統包工程,地下2層，地上11層鋼筋混凝土構造辦公廳類建築,2015年版EEWH-BC,黃金級,4,2030年5月18日,1,標示,王正源建築師事務所,新北市,中和區,新北市中和區福祥段397地號等3筆辦公廳類建築,辦公廳類建築,121.497906,25.004704
77,嘉潤青翠,地下5層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,黃金級,4,2030年5月15日,1,標示,蕭家福聯合建築師事務所,新北市,板橋區,新北市板橋區新都段94地號住宿類建築,住宿類建築,121.454532,25.026996
78,築悅開發建設思源段集合住宅新建工程,地下2層，地上12層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年5月5日,1,標示,黃明智建築師事務所,新北市,新莊區,新北市新莊區思源段1196地號住宿類建築,住宿類建築,121.455044,25.042214
79,僑馥建築經理股份有限公司樹林區文林段超市集合住宅新建工程,地下5層，地上15層鋼筋混凝土構造百貨商場、住宿及大型空間類建築,2015年版EEWH-RS,銀級,3,2030年5月5日,1,標示,巫錫琪建築師事務所,新北市,樹林區,新北市樹林區文林段1757地號百貨商場、住宿及大型空間類建築,住宿類建築,121.424117,24.997107
80,大隱建設淡水區水仙段221地號等1筆集合住宅新建工程,地下5層，地上11層鋼筋混凝土構造住宿類建築,2012年版EEWH-RS,銀級,3,2030年5月5日,1,標示,李兆嘉建築師事務所,新北市,淡水區,新北市淡水區水仙段221地號住宿類建築,住宿類建築,121.461209,25.151292
81,央北鑫建築新建工程,地下3層，地上15層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,鑽石級,5,2030年5月5日,1,標示,張維哲建築師事務所,新北市,新店區,新北市新店區斯馨段75地號辦公廳及住宿類建築,住宿類建築,121.530232,24.978833
82,蘆洲分局成州派出所、衛生局公共托老中心暨社會局身心障礙者社區式日間照顧中心共構新建工程,地下1層，地上5層鋼筋混凝土構造辦公廳及住宿類建築,2015年版EEWH-RS,合格級,1,2030年4月29日,1,標示,許澄榮建築師事務所,新北市,五股區,新北市五股區芳洲段127-1地號辦公廳及住宿類建築,住宿類建築,121.447827,25.091684
83,新北市永和區信義段集合住宅新建工程,地下2層，地上13層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,合格級,1,2030年4月16日,1,標示,劉佳鑫建築師事務所,新北市,永和區,新北市永和區信義段1102地號住宿類建築,住宿類建築,121.511163,25.011144
84,頂埔分隊興建工程,地上4層鋼筋混凝土構造空調型(辦公分區)建築,2019年版EEWH-BC(M),合格級,1,2030年3月19日,1,標示,楊志宏建築師事務所,新北市,土城區,新北市土城區沛陂段462地號空調型(辦公分區)建築,辦公廳類建築,121.421037,24.963169
85,新北市淡水區淡海國民小學校舍暨市民多元服務設施統包工程,地下1層，地上6層鋼筋混凝土構造，鋼構造住宿、學校、大型空間及其他類建築,2015年版EEWH-BC,合格級,1,2030年3月16日,1,標示,李宜蓉建築師事務所,新北市,淡水區,新北市淡水區淡海段60地號住宿、學校、大型空間及其他類建築,學校類建築,121.429314,25.195818
86,鋐固建設土城區學成段776、850地號等2筆土地集合住宅新建工程,地下3層，地上19層鋼筋混凝土構造住宿類建築,2015年版EEWH-RS,銀級,3,2030年3月13日,1,標示,劉錦鐘建築師事務所,新北市,土城區,新北市土城區學成段850地號等2筆住宿類建築,住宿類建築,121.456027,24.988992
87,新北市立美術館興建工程,地下3層，地上8層鋼骨構造大型空間類建築,2015年版EEWH-BC,黃金級,4,2030年3月6日,1,標示,劉秉鑫建築師事務所,新北市,鶯歌區,新北市鶯歌區中正段25-9地號大型空間類建築,大型空間類建築,121.356584,24.952257
88,安坑輕軌運輸系統計畫土建統包工程案-駐車維修廠及變電站,地下2層，地上2層鋼筋混凝土及鋼骨構造大型空間類建築,2015年版EEWH-BC,合格級,1,2030年3月2日,1,標示,梁太隆建築師事務所,新北市,新店區,新北市新店區雙城段1530、1544、1546-1、1548-1、1567、1568、1569、1570、1571、1583、1583-1、1584、1585、1586、1587、1588、1589、,大型空間類建築,121.486313,24.946168
89,新北市三峽區北大國民小學校舍新建工程,地下1層，地上4層鋼筋混凝土構造學校及大型空間類建築,2012年版EEWH-BC,銀級,3,2030年2月25日,1,標示,呂欽文建築師事務所,新北市,三峽區,新北市三峽區國光段205-1地號等33筆學校及大型空間類建築,學校類建築,121.374121,24.939132
