data_time,seq,title,county_code,county,area_code,area,postal_code,address,phone
2026-05-16 10:37:10+08,1,板橋第一社會福利服務中心,65000,新北市,65000010,板橋區,220677,漢生東路２５８號三樓,(02)29537301
2026-05-16 10:37:10+08,2,板橋區公所,65000,新北市,65000010,板橋區,220235,府中路３０號,(02)29686911
2026-05-16 10:37:10+08,3,新北市政府社會局社會救助科,65000,新北市,65000010,板橋區,220242,中山路一段１６１號二樓,(02)29603456
2026-05-16 10:37:10+08,4,天元慈善功德會,65000,新北市,65000010,板橋區,220620,四川路二段１６巷５號十樓,(02)89668566
2026-05-16 10:37:10+08,5,土城社會福利服務中心,65000,新北市,65000130,土城區,236035,中正路１８號五樓,(02)22656069
2026-05-16 10:37:10+08,6,土城區公所,65000,新北市,65000130,土城區,236205,金城路一段１０１號,(02)22732000
2026-05-16 10:37:10+08,7,社團法人新北巿家長志工教育成長協會,65000,新北市,65000130,土城區,236040,中央路四段２０５號,(02)22686800
2026-05-16 10:37:10+08,8,財團法人臺灣更生保護會新北分會,65000,新北市,65000130,土城區,236202,金城路二段２４９號,(02)22608369
2026-05-16 10:37:10+08,9,中華民國紅心字會,65000,新北市,65000130,土城區,236021,學府路一段１４５號二樓,(02)22655909
2026-05-16 10:37:10+08,10,臺灣新北地方檢察署觀護人室,65000,新北市,65000130,土城區,236017,金城路一段５６號,(02)22622076
2026-05-16 10:37:10+08,11,三峽區公所,65000,新北市,65000090,三峽區,237204,中山路１７號,(02)26711017
2026-05-16 10:37:10+08,12,文山社會福利服務中心,65000,新北市,65000060,新店區,231003,北新路一段８６號十樓,(02)29111819
2026-05-16 10:37:10+08,13,新店區公所,65000,新北市,65000060,新店區,231003,北新路一段８６號八樓,(02)29112281
2026-05-16 10:37:10+08,14,新北市都會東區原住民族家庭服務中心,65000,新北市,65000060,新店區,231047,永業路２０號一樓,(02)22121034
2026-05-16 10:37:10+08,15,深坑區公所,65000,新北市,65000180,深坑區,222003,深坑街１０號,(02)26623116
2026-05-16 10:37:10+08,16,石碇區公所,65000,新北市,65000190,石碇區,223002,碇坪路一段３７號,(02)26631080
2026-05-16 10:37:10+08,17,坪林區公所,65000,新北市,65000200,坪林區,232201,坪林１０１號,(02)26657251
2026-05-16 10:37:10+08,18,烏來區公所,65000,新北市,65000290,烏來區,233201,忠治里新烏路五段１１１號,(02)26616442
2026-05-16 10:37:10+08,19,新北市烏來原住民族家庭服務中心,65000,新北市,65000290,烏來區,233001,環山路８２巷９８號三樓,(02)26616082
2026-05-16 10:37:10+08,20,三重社會福利服務中心,65000,新北市,65000020,三重區,241061,溪尾街７３號三樓,(02)29826255
