編號,設施地點（戶外或室內）,名稱,行政區,地址,經度,緯度,市話,分機,手機,其他聯絡方式,開放時間,電風扇,冷氣,廁所,座位,飲水設施,無障礙座位,其他特色及亮點,備註
1,室內,第一銀行忠孝路分行,中正區,臺北市中正區忠孝東路2段94號,121.530054,25.0428591,(02)23416111,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
2,室內,第一銀行信維分行,大安區,臺北市大安區復興南路1段368、370號,121.5433051,25.0347309,(02)27557241,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
3,室內,第一銀行大同分行,大同區,臺北市大同區重慶北路3段60號1、2樓,121.5134262,25.0656424,(02)25913251,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
4,室內,第一銀行城東分行,中山區,臺北市中山區南京東路3段103號,121.5395419,25.0522519,(02)25062881,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
5,室內,第一銀行民生分行,松山區,臺北市松山區民生東路3段131號,121.5478553,25.0579248,(02)27138512,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
6,室內,第一銀行八德分行,大安區,臺北市大安區敦化南路1段111號,121.5493301,25.0473354,(02)27318878,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
7,室內,第一銀行內湖分行,內湖區,臺北市內湖區成功路3段143、145號,121.5900079,25.07958,(02)27932311,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
8,室內,第一銀行延吉分行,大安區,臺北市大安區忠孝東路4段289號,121.5545478,25.0417013,(02)27315741,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
9,室內,第一銀行大安分行,大安區,臺北市大安區信義路4段382號,121.5559536,25.0328752,(02)27556811,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
10,室內,第一銀行信義分行,大安區,臺北市大安區信義路3段7號,121.5334013,25.0338443,(02)23256811,,,,am9:00~pm15:30,Y,Y,N,Y,Y,N,,
11,室內,南山人壽-總公司,信義區,臺北市信義區莊敬路168號,121.5611273,25.0317437,(02)87588888,,,,週一至週五08:30-17:00,N,Y,N,Y,N,N,,現場禁止飲食
12,室內,南山人壽台北大安分公司,大安區,臺北市大安區新生南路一段137之4號,121.5330186,25.0366944,(02)25687777,87556,,,週一至週五 08:30–17:00,N,Y,Y,Y,Y,N,,
13,室內,南山人壽-客戶服務台北分部,中山區,臺北市中山區民權東路二段144號,121.5339294,25.06211642,(02)25687611,87611,972867232,,週一至週五08：30-17：00,N,Y,Y,Y,Y,Y,,
14,室內,松山奉天宮大殿內,信義區,臺北市信義區福德街221巷12號,121.5847093,25.0372514,(02)27279765,232,,service@ftg.org.tw,週一至周日 06:00－21:00,Y,N,Y,N,Y,N,,
15,室內,財團法人臺北市天師宮,大同區,臺北市大同區延平北路3段97、99號,121.5110207,25.0678732,(02)25956499,,,,週一到週日 08:00-20:00,Y,N,Y,Y,Y,N,,
16,室內/戶外,台北市木柵忠順廟,文山區,臺北市文山區順興里中崙路13號,121.5646964,24.9836771,(02)29394852,,982846698,@zst1762,6_20,Y,Y,Y,Y,Y,N,,
