編號,設施地點（戶外或室內）,名稱,行政區,地址,經度,緯度,市話,分機,手機,其他聯絡方式,開放時間,電風扇,冷氣,廁所,座位,飲水設施（例如：飲水機；直飲台；奉茶點等）,無障礙座位,其他特色及亮點,備註
140,戶外,大佳河濱公園戲水區,中山區,基九號(大佳)疏散門旁,121.536259,25.074513,(02)27126390,,,,"6月： 每周六、日及國定假日，10:00~10:40、11:00~11:40、15:00~18:00
7~8月：每日 ?10:00~10:40、?11:00~11:40、??15:00~18:00
9月： 每周六、日及國定假日，10:00~10:40、11:00~11:40、15:00~18:00",N,N,Y,Y,N,N,,施工中(預計116年3月底前完工)
141,戶外,大佳河濱公園-薄膜涼亭,中山區,基八號(濱江)疏散門旁,121.539477,25.07396,(02)27126390,,,,24小時,N,N,Y,Y,N,N,,
142,戶外,大佳河濱公園-薄膜涼亭,中山區,基九號(大佳)疏散門旁,121.537815,25.073943,(02)27126390,,,,24小時,N,N,Y,Y,N,N,,
143,戶外,大佳河濱公園-薄膜涼亭,中山區,基九號(大佳)疏散門旁,121.537001,25.075406,(02)27126390,,,,24小時,N,N,Y,Y,N,N,,施工中(預計116年3月底前完工)
144,戶外,大佳河濱公園-薄膜涼亭,中山區,基九號(大佳)疏散門旁,121.535471,25.074497,(02)27126390,,,,24小時,N,N,Y,Y,N,N,輕食販賣,施工中(預計116年3月底前完工)
145,戶外,大佳河濱公園-薄膜涼亭,中山區,基十號(林安泰)疏散門,121.530058,25.074223,(02)27126390,,,,24小時,N,N,Y,Y,N,N,,
146,戶外,美堤河濱公園兒童遊戲場沙坑(設有遮陽網),中山區,基十六號(美堤)疏散門旁,121.55634,25.076175,(02)27126390,,,,24小時,N,N,Y,Y,N,N,,
147,室內,臺北典藏植物園,中山區,濱江街16號,121.53177,25.07095,(02)23919677,,,,"9:00-17:00 
(星期一休館)",N,Y,Y,Y,N,Y,,展覽館
148,室內,花博新生閱覽室,中山區,新生北路3段105號,121.52876,25.07016,(02)29379440,,,,8:00-17:00,N,Y,Y,Y,Y,Y,,閱覽室/飲水機
149,室內,臺北市立美術館,中山區,臺北市中山區中山北路三段181號,121.52472,25.0725,(02)25957656,,,,"每週二-週五9:30-17:30
每週六
09:30-20:30
每週日
9:30-17:30",N,Y,Y,Y,Y,N,,每週一休館
150,室內,北水處北區營業分處服務台,中山區,長安西路3號2樓,121.521201,25.050163,(02)21004123,,,,08:30-17:30,N,Y,Y,Y,Y,N,,
151,室內,大直市場,中山區,北安路458巷41弄3號,121.54593,25.07875,(02)25322782,,,,7:00-13:00,Y,N,Y,N,N,N,,
152,室內,中山市場,中山區,長安西路3號,121.52178,25.05034,(02)25512743,,,,8:30-17:30,Y,N,Y,N,N,N,,
153,室內,中山商場,中山區,保儀路13巷3號,121.52174,25.0512,(02)25510098,,,,8:00-20:00,N,N,N,N,N,N,,
154,室內,行天宮商場,中山區,民權東路二段(地下人行道),121.53356,25.06286,(02)25057271,,,,7:00-23:00,N,N,N,Y,N,N,,
155,室內,松江市場,中山區,錦州街222號,121.53229,25.06033,(02)25677101,,,,6:00-0:00,N,Y,Y,N,Y,N,,
156,室內,長春市場,中山區,長春路299號,121.54238,25.05488,(02)25028202,,,,8:00-20:00,N,N,Y,N,N,N,,
157,室內,建國市場,中山區,伊通街94巷4號,121.53442,25.05378,(02)25072615,,,,8:00-20:00,N,N,N,N,N,N,,
158,室內,中山區行政中心,中山區,松江路367號1樓、5樓,121.5336407,25.0643545,(02)25031369,,,,"週一至週五8:30-17:30
(例假日及國定假日除外)",Y,Y,Y,Y,Y,N,,
159,室內,中山公民會館,中山區,中山北路二段128號,121.522691,25.061687,(02)25314169,,,,"週二至週五9:00-21:00、週六
9:00-17:00",Y,Y,Y,N,Y,N,,
160,戶外,心中山線形公園,中山區,中山北路二段48巷7號,121.5206,25.05597,(02)21812345,,,,24小時,N,N,N,Y,N,N,,
161,室內,圖書館中山分館,中山區,松江路367號8樓,121.5335169,25.06453484,(02)25026442,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
162,室內,圖書館長安分館,中山區,長安西路3號4樓,121.52092,25.05031,(02)25625540,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
163,室內,圖書館大直分館,中山區,大直街25號3-5樓,121.546765,25.081934,(02)25336535,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
164,室內,恆安民眾閱覽室,中山區,民權東路一段71巷19號,121.5272581,25.06357855,(02)25395482,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
165,戶外,MAJI美食商城,中山區,中山區玉門街1號,121.5221566,25.0698286,(02)25977112,208,,,"周日至周四 10:00-22:00
周五、周六 10:00-24:00",N,N,Y,Y,N,N,,
166,戶外,花博公園-長廊廣場,中山區,中山區玉門街1號,121.5214,25.0706,(02)21828886,,,,24小時,N,N,Y,Y,N,N,,
167,室內,聯合醫院中山門診部,中山區,松江路367號,121.533629,25.064558,(02)25013363,,,,"08:30-11:30
(中午休息)
13:30-16:30",N,Y,Y,Y,Y,Y,,"星期六、日
休息"
168,室內,中山運動中心,中山區,中山北路二段44巷2號,121.5213556,25.05503766,(02)25811060,,,,6:00-22:00,Y,Y,Y,Y,Y,N,,
169,室內,榮星花園游泳池,中山區,建國北路三段39號,121.5377632,25.06422303,(02)25079366,,,,5:30-22:00,Y,Y,Y,Y,Y,N,,
170,戶外,迎風碼頭(大直橋下碼頭),中山區,橋下水域休憩碼頭,121.544132,25.075465,(03)4862200,,,,9:00-17:30,N,N,N,N,N,N,,
171,戶外,中央藝文公園,中正區,北平東路,121.5268208,25.04625728,(02)23032451,,,,24小時,N,N,Y,Y,Y,N,,直飲台
172,戶外,中央藝文公園-遊戲場,中正區,北平東路,121.5268208,25.04625728,(02)23032451,,,,24小時,N,N,Y,Y,Y,N,,直飲台
173,戶外,逸仙公園,中正區,中山北路一段46號,121.5200714,25.04768548,(02)23032451,,,,24小時,N,N,Y,Y,N,N,,
174,戶外,二二八公園,中正區,凱達格蘭大道3號,121.5150361,25.04154262,(02)23032451,,,,24小時,N,N,Y,Y,Y,N,,直飲台
175,室內,逸仙公園國父史蹟館,中正區,中山北路一段46號,121.520168,25.04793819,(02)23032451,,,,8:00-17:00,N,Y,Y,Y,N,N,,展覽館
176,室內,臺北記憶倉庫,中正區,忠孝西路一段265號,121.5124,25.0477,(02)23714597,,,,每週二–週日，11:00–19:00,N,Y,Y,Y,N,N,,每週一休館
177,室內,嘉禾新村,中正區,永春街131巷1號,121.527158,25.016016,(02)23652530,,,,每週二–週日，11:00–18:00,Y,Y,Y,Y,Y,N,,
178,室內,紀州庵文學森林,中正區,同安街 107 號,121.52068,25.02159,(02)23687577,,,,"每週二–週日，10:00-18:00
1.古蹟：週五延至21:00
2.新館：週五、週六延至21:00",N,Y,Y,Y,Y,N,,每週一休館
179,室內,中山堂管理所,中正區,延平南路98號,121.5096928,25.04319964,(02)23813137,,,,每週一至週日，9:30-17:00,N,Y,Y,Y,Y,Y,展覽空間,每月週一休館
180,室內,北水處西區營業分處服務台,中正區,牯嶺街38號,121.516493,25.029748,(02)33431678,,,,8:30-17:30,Y,Y,Y,Y,Y,N,,
181,室內,北水處南區營業分處服務台,中正區,思源街1號,121.530593,25.01359,(02)83695123,,,,8:30-17:30,N,Y,N,Y,Y,N,,
182,室內,水源市場,中正區,羅斯福路四段92號,121.53493,25.01376,(02)23650797,,,,7:00-20:00,N,Y,Y,N,Y,N,,
183,室內,光華商場,中正區,市民大道三段8號,121.53191,25.04537,(02)23412202,,,,11:00-21:00,Y,Y,Y,Y,Y,N,,
184,室內,幸安市場,中正區,濟南路二段46號,121.53083,25.04043,(02)23945706,,,,8:00-19:00,Y,Y,Y,N,N,N,,
185,室內,東門市場,中正區,信義路二段81號,121.52701,25.03476,(02)23939424,,,,7:00-14:00,Y,N,Y,N,N,N,,
186,室內,華山市場,中正區,臺北市中正區號,121.52483,25.04438,(02)23936571,,,,"1樓：9:00-19:00
2樓：
飲食攤5:00-14:00
百貨攤9:00-19:00
（週日1樓及2樓營業時間為9:00-14:00）",Y,Y,Y,Y,N,N,,
187,室內,新生市場,中正區,新生南路一段134之1號,121.53249,25.03703,(02)23215118,,,,9:00-20:00,Y,N,Y,N,N,N,,
188,室內,台北地下街,中正區,市民大道1段100號,121.5135772,25.0470259,(02)25594566,,,,11:00-21:30,N,Y,Y,Y,Y,N,,
189,室內,K區地下街,中正區,忠孝西路1段47號,121.5135879,25.047026,(02)23812766,,,,11:00-22:00,N,Y,Y,Y,N,N,,
190,室內,站前地下街,中正區,忠孝西路1段50-1號,121.515793,25.046433,(02)23751567,,,,11:00-20:00,N,Y,Y,Y,N,N,,
191,室內,中正區行政中心,中正區,羅斯福路一段8號6樓,121.5185165,25.03222619,(02)23416721,,,,"週一至週五8:30-17:30
(例假日及國定假日除外)",Y,Y,Y,Y,Y,N,,
192,室內,臺北市客家文化中心,中正區,臺北市中正區汀州路三段2號,121.5252101,25.0201848,(02)23691198,,,,"週二至週日
9:00-18:00",Y,Y,Y,Y,Y,N,客家文化展示,
193,室內,臺北市客家音樂戲劇中心,中正區,臺北市中正區汀州路三段2號,121.5257466,25.01965014,(02)23691198,,,,"週二至週日
9:00-18:00",Y,Y,Y,Y,Y,Y,客家音樂戲劇展演,
194,戶外,臺北市客家文化主題公園-禾埕廣場,中正區,臺北市中正區汀州路三段2號,121.5255216,25.01988009,(02)23691198,,,,24小時,N,N,Y,N,N,N,,
195,戶外,臺北市客家文化主題公園-好食廣場,中正區,臺北市中正區汀州路三段2號,121.5251675,25.020032,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
196,戶外,臺北市客家文化主題公園-伯公亭,中正區,臺北市中正區汀州路三段2號,121.524534,25.02003762,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
197,戶外,臺北市客家文化主題公園-土坡涼亭,中正區,臺北市中正區汀州路三段2號,121.5246849,25.01906074,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
198,戶外,臺北市客家文化主題公園-北林蔭步道,中正區,臺北市中正區汀州路三段2號,121.5241062,25.02055599,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
199,戶外,臺北市客家文化主題公園-西林蔭步道,中正區,臺北市中正區汀州路三段2號,121.5240158,25.01954616,(02)23691198,,,,24小時,N,N,Y,N,N,N,,
200,戶外,臺北市客家文化主題公園-南林蔭步道,中正區,臺北市中正區汀州路三段2號,121.525073,25.01913027,(02)23691198,,,,24小時,N,N,Y,Y,N,N,,
201,室內,臺北市客家圖書影音中心,中正區,臺北市中正區羅斯福路一段95巷1號,121.5207282,25.03103163,(02)23973733,,,,週二至週六10:00-21:00,Y,Y,Y,Y,Y,N,客家圖書及影音資料,
202,室內,西門地下街,中正區,中華路1段51-1號,121.509075,25.043959,(02)21812345,,,,"6:00-01:00
(公共空間及通道開放時間)",N,Y,Y,N,N,N,提供動漫及潮流百貨、餐飲等服務,
203,室內,王貫英紀念館,中正區,汀州路二段265號,121.52415,25.02282,(02)23678734,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,N,,國定假日、每月第一個星期四為休館日
204,室內,圖書館城中分館,中正區,濟南路二段46號3樓,121.53105,25.04041,(02)23938274,,,,"週日、週一:
9:00-17:00
週二~週六:
8:30-21:00",Y,Y,Y,Y,Y,Y,,國定假日、每月第一個星期四為休館日
205,室內,古亭國中智慧圖書館,中正區,寧波西街286號,121.5107886,25.02529008,(02)23391056,,,,9:00-21:00,Y,Y,Y,Y,N,N,,國定假日為休館日
206,室內,中正運動中心,中正區,信義路1段1號,121.5198762,25.03858042,(02)23961000,,,,6:00-22:00,Y,Y,Y,Y,Y,N,製冰機,
207,戶外,碧湖公園,內湖區,內湖路二段175號,121.585547,25.082405,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
208,戶外,大港墘公園-遊戲場,內湖區,瑞光路391號,121.573375,25.077973,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
209,戶外,西湖公園-遊戲場,內湖區,內湖路一段387巷3弄5-11號旁(恕德家商旁).,121.5703519,25.08380182,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
210,戶外,文德3號公園-遊戲場,內湖區,文德路50號至江南街71巷16弄.,121.58043,25.07792151,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
211,戶外,潭美公園-遊戲場,內湖區,"新明路298巷起至成功路二段,潭美國小旁.",121.58189,25.05707,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
212,戶外,石潭公園-遊戲場,內湖區,成功路二段東側(麥帥公路兩側).,121.59231,25.06179,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
213,戶外,碧湖公園-遊戲場,內湖區,"內湖路二段175號,國立台灣戲曲學院旁
(防災公園).",121.58314,25.08267,(02)26586601,,,,24小時,N,N,Y,Y,Y,N,,直飲台
214,戶外,清白公園-遊戲場,內湖區,成功路四段167巷16號對面 (康寧國小旁),121.59452,25.0822,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
215,戶外,下灣公園-遊戲場,內湖區,成功路二段189號旁.,121.59079,25.06683,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
216,戶外,成功公園-遊戲場,內湖區,成功路四段旁223巷旁,121.59721,25.08428,(02)26586601,,,,24小時,N,N,N,Y,Y,N,,直飲台
217,戶外,瑞光公園-遊戲場,內湖區,瑞光路132巷旁.(六期重劃),121.5782222,25.07153452,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
218,戶外,樂活公園-遊戲場,內湖區,康樂街61巷15弄旁.,121.61884,25.06828,(02)26586601,,,,24小時,N,N,N,Y,Y,N,,直飲台
219,戶外,明美公園-遊戲場,內湖區,南京東路六段北側(內湖五期重劃區).,121.58559,25.06272,(02)26586601,,,,24小時,N,N,Y,Y,N,N,,
220,戶外,上灣公園-遊戲場,內湖區,民權東路六段210巷43號旁.,121.59781,25.06581,(02)26586601,,,,24小時,N,N,N,Y,N,N,,
221,戶外,西安公園-遊戲場,內湖區,環山路一段106號旁(德明專商捐贈).,121.5677791,25.08743673,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
222,戶外,西康公園-遊戲場,內湖區,內湖路一段225巷右側,121.5643864,25.08315456,(02)27925828,288,,,24小時,N,N,N,Y,Y,N,,直飲台
223,戶外,港華六號公園-遊戲場,內湖區,麗山街269巷1號前.,121.5747397,25.08424561,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
224,戶外,港都公園-遊戲場,內湖區,港華街40號旁.,121.5752363,25.08277091,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
225,戶外,港墘公園-遊戲場,內湖區,內湖路一段667巷9號,121.5764235,25.08086982,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
226,戶外,瑞陽公園-遊戲場,內湖區,文德路22巷9弄間.,121.5793323,25.07758074,(02)27925828,288,,,24小時,N,N,N,Y,N,N,鄰里公園有設置iTrash智能回收機,
227,戶外,文德二號公園-遊戲場,內湖區,文德路208巷加油站旁.,121.5837167,25.07692393,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
228,戶外,金瑞公園-遊戲場,內湖區,金龍路213巷1弄旁.(原為金湖公園),121.58798,25.08798,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
229,戶外,碧山公園-遊戲場,內湖區,內湖路三段60巷11號對面,121.591932,25.086914,(02)27925828,288,,,24小時,N,N,N,Y,Y,N,,直飲台
230,戶外,福壽公園-遊戲場,內湖區,星雲街150巷18號旁.,121.59661,25.0798,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
231,戶外,新明公園-遊戲場,內湖區,新明路460巷內.,121.57866,25.05413,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
232,戶外,湖聖公園-遊戲場,內湖區,成功路二段305巷11號旁.(四期重劃),121.59182,25.06981,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
233,戶外,康寧公園-遊戲場,內湖區,康寧路三段56巷內(明湖國中後).,121.60975,25.06902,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
234,戶外,樂康公園-遊戲場,內湖區,康樂街61巷73弄底.,121.62078,25.07009,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
235,戶外,安康公園-遊戲場,內湖區,康寧路三段220號南湖高中旁.,121.6129894,25.06683007,(02)27925828,288,,,24小時,N,N,N,Y,N,N,鄰里公園有設置iTrash智能回收機,
236,戶外,仙樹公園-遊戲場,內湖區,環山路一段59巷14弄旁.,121.5682569,25.08533485,(02)27925828,288,,,24小時,N,N,Y,Y,N,N,,
237,戶外,港華一號公園-遊戲場,內湖區,環山路二段50巷底左側.,121.5735937,25.08776875,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
238,戶外,湖山六號公園-遊戲場,內湖區,大湖街166巷大湖派出所後方.,121.60203,25.08303,(02)27925828,288,,,24小時,N,N,N,Y,Y,N,,直飲台
239,戶外,洲子二號公園-遊戲場,內湖區,"瑞光路498號對面,仁寶電子公司旁.
(環保公園；仁寶捐贈、六期重劃)",121.5690017,25.07963432,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,配合捷運環狀線施工，115年3月1日起至完工止暫停開放。
240,戶外,麗湖公園-遊戲場,內湖區,金湖路363巷67弄63號對面.(四期重劃),121.60052,25.07339,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
241,戶外,行善公園-遊戲場,內湖區,新明路558號對面.(平均地權基金),121.57569,25.05321,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
242,戶外,美善公園-遊戲場,內湖區,行善路59巷旁.(平均地權基金),121.57862,25.05706,(02)27925828,288,,,24小時,N,N,N,Y,Y,N,,直飲台
243,戶外,煙波庭公園-遊戲場,內湖區,大湖街131巷18弄61號對面.,121.59929,25.08634,(02)27925828,288,,,24小時,N,N,Y,Y,Y,N,,直飲台
244,戶外,九華公園-遊戲場,內湖區,內湖路1段91巷39弄35-1號.,121.5611934,25.08858005,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
245,戶外,西康2號公園-遊戲場,內湖區,環山路一段28巷,121.5640005,25.08501394,(02)27925828,288,,,24小時,N,N,N,Y,Y,N,,直飲台
246,戶外,湖元公園-遊戲場,內湖區,民權東路六段120巷3弄1號對面.,121.5870426,25.06827857,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
247,戶外,五分公園-遊戲場,內湖區,安康路448號對面.,121.61505,25.06728,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
248,戶外,東湖一號公園-遊戲場,內湖區,康寧路三段189巷159弄旁.,121.61226,25.07562,(02)27925828,288,,,24小時,N,N,N,Y,Y,N,,直飲台
249,戶外,安泰公園-遊戲場,內湖區,安泰街45巷11弄旁.,121.61845,25.07407,(02)27925828,288,,,24小時,N,N,N,Y,Y,N,,直飲台
250,戶外,安湖三號公園-遊戲場,內湖區,東湖路113巷51號旁.,121.61564,25.0705,(02)27925828,288,,,24小時,N,N,N,Y,N,N,鄰里公園有設置iTrash智能回收機,
251,戶外,東湖四號公園-遊戲場,內湖區,"康樂街110巷16弄20號,康樂派出所前.",121.61806,25.07051,(02)27925828,288,,,24小時,N,N,N,Y,N,N,,
252,戶外,湖興公園-遊戲場,內湖區,成功路二段312巷旁.,121.5894703,25.0668819,(02)27925828,288,,,24小時,N,N,N,Y,N,N,鄰里公園有設置iTrash智能回收機,
253,戶外,大華湖閱通道,內湖區,成功路二段317巷、317巷50弄口,121.591611,25.069972,(02)87913835,,,,24小時,N,N,N,N,N,N,,
254,戶外,"成美右岸河濱公園兒童遊戲場沙坑
(設有遮陽網)",內湖區,成美橋右岸旁,121.582158,25.054246,(02)27126390,,,,24小時,N,N,Y,Y,N,N,,
255,戶外,內湖污水處理廠附設休閒運動公園-遊戲場,內湖區,舊宗路二段2號,121.5738,25.0676,(02)87919494,157,,,24小時,N,Y,Y,Y,Y,Y,,
256,戶外,碧山露營場,內湖區,碧山路26-6號,121.579225,25.104315,(02)27598528,,,,"露營：每周二、三未開放
參觀：09:00-17:00
(每周三休園)",N,N,Y,Y,Y,N,,
257,室內,碧湖公園閱覽室,內湖區,內湖路二段175號,121.5829829,25.0831318,(02)26586601,,,,7:00-23:00,Y,Y,Y,Y,Y,Y,,直飲台
258,室內,內溝溪生態展示館,內湖區,康樂街236之3號,121.6228393,25.08733261,(02)26347851,,,,"09:00-17:00
(星期三休館)",Y,Y,Y,Y,Y,N,,
259,室內,西湖市場,內湖區,內湖路一段285號,121.56654,25.08267,(02)26580144,,,,"1樓：
7:00-13:00
2樓：
11:00-20:00 ",Y,Y,Y,Y,N,N,,
