name,latitude,longitude
新北市三峽民權老街商圈,24.934678,121.367423
新北市三峽民權老街商圈,24.933184,121.372164
新北市三峽民權老街商圈,24.932455,121.367972
新北市三峽民權老街商圈,24.935979,121.368559
新北市三峽民權老街商圈,24.932482,121.368001
新北市三峽民權老街商圈,24.935985,121.368614
新北市三峽民權老街商圈,24.932257,121.374855
新北市三峽民權老街商圈,24.934626,121.367595
新北市三峽民權老街商圈,24.933155,121.372132
新北市三峽民權老街商圈,24.932528,121.367832
新北市三峽民權老街商圈,24.932415,121.367929
新北市三峽民權老街商圈,24.932329,121.371373
新北市三峽民權老街商圈,24.931433,121.371146
新北市三峽民權老街商圈,24.934566,121.367488
新北市三峽民權老街商圈,24.932852,121.371798
新北市三峽民權老街商圈,24.935971,121.368479
新北市三峽民權老街商圈,24.934564,121.36741
新北市三峽民權老街商圈,24.929776,121.371012
新北市三峽民權老街商圈,24.934704,121.367376
新北市三峽民權老街商圈,24.931964,121.371259
新北市三峽民權老街商圈,24.930789,121.371047
新北市三峽民權老街商圈,24.931111,121.371096
新北市三峽民權老街商圈,24.934601,121.367562
新北市三峽民權老街商圈,24.934375,121.368816
新北市三峽民權老街商圈,24.936757,121.370126
新北市三峽民權老街商圈,24.935754,121.367477
新北市三峽民權老街商圈,24.932506,121.367775
新北市三峽民權老街商圈,24.931527,121.372788
新北市三峽民權老街商圈,24.932492,121.367737
新北市三峽民權老街商圈,24.930789,121.36807
新北市三峽民權老街商圈,24.935997,121.368734
新北市三峽民權老街商圈,24.932095,121.374777
新北市三峽民權老街商圈,24.931326,121.371129
新北市三峽民權老街商圈,24.934652,121.367469
新北市三峽民權老街商圈,24.932584,121.371528
新北市三峽民權老街商圈,24.933684,121.368398
新北市三峽民權老街商圈,24.930742,121.368052
新北市三峽民權老街商圈,24.932477,121.367699
新北市三峽民權老街商圈,24.932485,121.367718
新北市三峽民權老街商圈,24.932442,121.367958
新北市三峽民權老街商圈,24.932469,121.367986
新北市三峽民權老街商圈,24.932521,121.367813
新北市三峽民權老街商圈,24.932212,121.374737
新北市三峽民權老街商圈,24.932428,121.367943
新北市三峽民權老街商圈,24.92983,121.371016
新北市三峽民權老街商圈,24.934725,121.367415
